Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts,31,0,28,168.408803225893,5.753900000854628,2361.4391000010073,10771.161290322581,1.6199460263946073,0.0,28,45,59,64,430,810,2400,2400,2400,2400,2400
POST,/auth/login,20,0,3000,3019.4770149997566,2302.033500000107,3684.808099998918,165.0,1.0451264686416821,0.0,3100,3200,3300,3500,3500,3700,3700,3700,3700,3700,3700
GET,/health,6,0,47,154.3404833337263,2.6228999995510094,747.0175000016752,130.0,0.3135379405925046,0.0,48,48,54,54,750,750,750,750,750,750,750
GET,/patients,28,0,250,654.9924392859664,51.536200000555255,4634.393599997566,4929.642857142857,1.463177056098355,0.0,260,330,580,590,2000,2700,4600,4600,4600,4600,4600
POST,/predict,476,0,73,128.40545399150196,17.48550000047544,2264.6797000015795,170.80252100840337,24.874009953672033,0.0,73,95,110,130,170,320,1000,1600,2300,2300,2300
,Aggregated,561,0,74,260.2442789660645,2.6228999995510094,4634.393599997566,993.4367201426024,29.315797445399184,0.0,74,100,130,150,330,1900,3000,3300,4600,4600,4600
